replace,replace_with
Inter,Internazionale
Roma,AS Roma
Milan,AC Milan
Man United,Manchester United
Man City,Manchester City
Leeds,Leeds United
West Ham,West Ham United
West Brom,West Bromwich Albion
Leicester,Leicester City
Tottenham,Tottenham Hotspur
Wolves,Wolverhampton
Brighton,Brighton and Hove Albion
Zwolle,PEC Zwolle
FC Emmen,Emmen
For Sittard,Fortuna Sittard
Groningen,FC Groningen
PSV Eindhoven,PSV
Sparta Rotterdam,Sparta
Waalwijk,RKC
AZ Alkmaar,AZ
Den Haag,ADO Den Haag
Twente,FC Twente
Utrecht,FC Utrecht
QPR,Queens Park Rangers
Nott'm Forest,Nottingham Forest
Bournemouth,AFC Bournemouth
Derby,Derby County
Cardiff,Cardiff City
Sheffield Weds,Sheffield Wednesday
Stoke,Stoke City
Huddersfield,Huddersfield Town
Norwich,Norwich City
Preston,Preston North End
Swansea,Swansea City
Luton,Luton Town
Wycombe,Wycombe Wanderers
Coventry,Coventry City
Rotherham,Rotherham United
Paris SG,Paris Saint-Germain
Monaco,AS Monaco
Dijon,Dijon FCO
Rennes,Stade Rennes
Regensburg,Jahn Regensburg
Nurnberg,1. FC Nürnberg
Fortuna Dusseldorf,Fortuna Düsseldorf
Hamburg,Hamburg SV
Sandhausen,SV Sandhausen
Darmstadt,SV Darmstadt 98
Hannover,Hannover 96
Karlsruhe,Karlsruher SC
Heidenheim,1. FC Heidenheim 1846
Braunschweig,Eintracht Braunschweig
Paderborn,SC Paderborn
Greuther Furth,SpVgg Greuther Fürth
Osnabruck,VfL Osnabruck
Bochum,VfL Bochum
St Pauli,FC St. Pauli
Wurzburger Kickers,Würzburger Kickers
Ein Frankfurt,Eintracht Frankfurt
Bielefeld,Arminia Bielefeld
FC Koln,FC Cologne
Hoffenheim,TSG Hoffenheim
Union Berlin,1. FC Union Berlin
Augsburg,FC Augsburg
Hertha,Hertha Berlin
Stuttgart,VfB Stuttgart
Freiburg,SC Freiburg
Dortmund,Borussia Dortmund
M'gladbach,Borussia Monchengladbach
Wolfsburg,VfL Wolfsburg
Leverkusen,Bayer Leverkusen
Pescara,US Pescara
Chievo,Chievo Verona
Pordenone,Pordenone Calcio
Venezia,F.B.C Unione Venezia
Nacional,C.D. Nacional
Porto,FC Porto
Sp Braga,Braga
Sp Lisbon,Sporting CP
Farense,SC Farense
Celta,Celta Vigo
Ath Bilbao,Athletic Bilbao
Alaves,Alavés
Valladolid,Real Valladolid
Betis,Real Betis
Sociedad,Real Sociedad
Ath Madrid,Atletico Madrid
Sevilla,Sevilla FC
Huesca,SD Huesca
Sao Paulo,São Paulo
Athletico-PR,Atlético Paranaense
Atletico-MG,Atletico Mineiro
Goias,Goiás
Atletico GO,Atlético Goianiense
Botafogo RJ,Botafogo
Gremio,Grêmio
Vasco,Vasco da Gama
Ceara,Ceará
Bahia,Bahía
Minnesota United,Minnesota United FC
Atlanta Utd,Atlanta United FC
Orlando City,Orlando City SC
New York City,New York City FC
Inter Miami,Inter Miami CF
Juarez,FC Juárez
Leon,León
Queretaro,Querétaro
U.A.N.L.- Tigres,Tigres UANL
U.N.A.M.- Pumas,Pumas Unam
Club America,Club América
Guadalajara Chivas,Guadalajara
Atl. San Luis,Atlético San Luis
Club Tijuana,Tijuana
Mazatlan FC,Mazatlán FC
Hull,Hull City
Nancy,AS Nancy Lorraine
Malaga,Málaga
Ingolstadt,FC Ingolstadt 04
Kaiserslautern,1. FC Kaiserslautern
Dresden,Dynamo Dresden
Duisburg,MSV Duisburg
Burton,Burton Albion
Ipswich,Ipswich Town
Aves,Desportivo Aves
Setubal,Vitoria Setubal
Estoril,Estoril Praia
NAC Breda,NAC
Roda,Roda JC
La Coruna,Deportivo La Coruña
Espanol,Espanyol
Sp Gijon,Sporting Gijón
Girona,Girona FC
Magdeburg,1. FC Magdeburg
Graafschap,De Graafschap
Vallecano,Rayo Vallecano
Wehen,SV Wehen Wiesbaden
Charlton,Charlton Athletic
Huesca,SD Huesca
Zaragoza,Real Zaragoza
Ibiza,UD Ibiza
Sociedad B,Real Sociedad II
Ponferradina,SD Ponferradina
Alcorcon,AD Alcorcon
Oviedo,Real Oviedo
Cartagena,FC Cartagena
Estoril,Estoril Praia
Arouca,FC Arouca
Peterboro,Peterborough United
Luton,Luton Town
Clermont,Clermont Foot
Nijmegen,NEC
Cambuur,Cambuur Leeuwarden